City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hermanus,ZA,76.53,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
10,Maunabo,PR,84.47,scattered clouds,18.0072,-65.8993,Maunacaribe
11,Phan Thiet,VN,81.28,moderate rain,10.9333,108.1,Hotel Saigon-PT
12,Rikitea,PF,77.23,broken clouds,-23.1203,-134.9692,People ThankYou
16,Port-Gentil,GA,85.96,broken clouds,-0.7193,8.7815,Fengshui Residence
17,Delmas,HT,83.12,scattered clouds,18.5447,-72.3028,Idéal Villa Hôtel
23,Nicoya,CR,82.31,moderate rain,10.1483,-85.452,Las Cabinas Del Sueño
24,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
26,Iracoubo,GF,82.62,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
27,Kavos,GR,83.97,scattered clouds,38.8268,22.8322,Kavos Villa
28,Quelimane,MZ,78.75,broken clouds,-17.8786,36.8883,Hotel Flamingo
29,Jacqueville,CI,82.56,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
31,Lhokseumawe,ID,77.43,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
38,Samarkand,UZ,81.82,clear sky,39.6542,66.9597,Ideal Hotel
40,Kloulklubed,PW,75.7,clear sky,7.0419,134.2556,Storyboard Beach Resort
44,Acapulco,MX,75.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
47,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
48,Kongolo,CD,86.09,broken clouds,-5.3833,27.0,GUEST HOUSE OASIS
51,Bereda,ES,75.42,broken clouds,43.2686,-7.5406,Pazo de Verdes
53,Luanda,AO,81.03,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
56,Port Blair,IN,81.05,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
60,Avera,US,75.54,clear sky,33.194,-82.5271,
64,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
66,Boende,CD,85.77,overcast clouds,-0.2167,20.8667,
73,Lalmohan,BD,84.61,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
76,Faya,SA,86.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
79,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
80,Sao Filipe,CV,79.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
81,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
98,Hilo,US,76.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
102,Ambilobe,MG,77.74,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
