City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thanh Hoa,VN,19.8,105.7667,69.78,71,100,6.02,overcast clouds
1,Bluff,NZ,-46.6,168.3333,55.8,90,97,13.85,overcast clouds
2,Albany,US,42.6001,-73.9662,71.64,91,67,4.9,broken clouds
3,Barrow,US,71.2906,-156.7887,15.82,79,100,16.11,light snow
4,Hermanus,ZA,-34.4187,19.2345,76.53,36,3,2.95,clear sky
5,Vredendal,ZA,-31.6683,18.5012,95.09,10,0,8.93,clear sky
6,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,75,12.66,broken clouds
7,Lavrentiya,RU,65.5833,-171.0,16.32,88,98,7.45,overcast clouds
8,Lumby,CA,50.2498,-118.969,49.05,94,100,1.14,overcast clouds
9,Victoria,HK,22.2855,114.1577,70.32,79,100,8.99,overcast clouds
10,Maunabo,PR,18.0072,-65.8993,84.47,80,26,13.2,scattered clouds
11,Phan Thiet,VN,10.9333,108.1,81.28,85,100,3.65,moderate rain
12,Rikitea,PF,-23.1203,-134.9692,77.23,70,56,21.54,broken clouds
13,Alofi,NU,-19.0595,-169.9187,66.09,88,40,4.61,scattered clouds
14,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,100,12.66,mist
15,Vardo,NO,70.3705,31.1107,39.18,87,75,17.27,broken clouds
16,Port-Gentil,GA,-0.7193,8.7815,85.96,79,75,12.66,broken clouds
17,Delmas,HT,18.5447,-72.3028,83.12,58,40,17.27,scattered clouds
18,Lakes Entrance,AU,-37.8811,147.981,51.17,87,8,9.33,clear sky
19,Saint George,US,37.1041,-113.5841,66.79,19,0,1.99,clear sky
20,Ponta Delgada,PT,37.7333,-25.6667,65.5,59,20,19.57,few clouds
21,Narovchat,RU,53.8765,43.6946,51.35,85,100,14.99,light rain
22,Bethel,US,41.3712,-73.414,74.16,82,20,1.99,few clouds
23,Nicoya,CR,10.1483,-85.452,82.31,73,100,3.44,moderate rain
24,East London,ZA,-33.0153,27.9116,76.14,73,0,6.91,clear sky
25,Coquimbo,CL,-29.9533,-71.3436,53.33,82,75,5.75,broken clouds
26,Iracoubo,GF,5.4802,-53.2011,82.62,79,100,9.75,overcast clouds
27,Kavos,GR,38.8268,22.8322,83.97,59,32,5.06,scattered clouds
28,Quelimane,MZ,-17.8786,36.8883,78.75,73,75,2.3,broken clouds
29,Jacqueville,CI,5.2052,-4.4146,82.56,76,100,7.94,overcast clouds
30,Hobart,AU,-42.8794,147.3294,44.46,85,20,8.05,few clouds
31,Lhokseumawe,ID,5.1801,97.1507,77.43,87,100,8.68,overcast clouds
32,Mataura,NZ,-46.1927,168.8643,55.47,74,68,5.3,broken clouds
33,Busselton,AU,-33.65,115.3333,61.83,62,100,10.65,overcast clouds
34,Nikolskoye,RU,59.7035,30.7861,50.88,84,100,7.7,overcast clouds
35,Katsuura,JP,35.1333,140.3,58.87,95,100,14.7,light rain
36,Colorado,BR,-22.8375,-51.9731,64.36,63,8,14.29,clear sky
37,Lagoa,PT,39.05,-27.9833,57.25,65,18,28.39,few clouds
38,Samarkand,UZ,39.6542,66.9597,81.82,24,1,9.22,clear sky
